facility n.设备；容易；便利# 
fact n.事实；实际，实情# 
factor n.因素；因子，系数# 
factory n.工厂，制造厂# 
faculty n.才能，能力；系，科# 
fade vi.褪色；逐渐消失# 
Fahrenheit n.华氏温度计# 
fail vi.失败；失灵；不能# 
failure n.失败；失败的人# 
faint a.微弱的；虚弱的# 
fair a.公平的；相当的# 
fair n.定期集市；博览会# 
fairly ad.相当；公平地# 
faith n.信任，信心；信仰# 
faithful a.忠诚的；如实的# 
fall vi.落下；跌倒；陷落# 
false a.不真实的；伪造的# 
fame n.名声，名望# 
familiar a.熟悉的；冒昧的# 
family n.家，家庭；家族# 
famine n.饥荒；严重的缺乏# 
famous a.著名的，出名的# 
fan n.(运动等)狂热爱好者# 
fan n.扇子，风扇vt.扇# 
fancy n.想象力；设想；爱好# 
far a.远的ad.远，遥远# 
fare n.车费，船费，票价# 
farewell int.再会n.告别# 
farm n.农场，农庄；饲养场# 
farmer n.农民，农夫；农场主# 
farther ad.更远地a.更远的# 
fashion n.样子，方式；风尚# 
fashionable a.流行的，时髦的# 
fast a.快的；偏快的ad.快# 
fasten vt.扎牢，扣住# 
fatal a.致命的；命运的# 
fate n.命运，天数# 
father n.父亲；神父；创始人# 
father-in-law n.岳父；公公# 
fatigue n.疲劳，劳累# 
fault n.缺点；过失；故障# 
faulty a.有错误的，有缺点的# 
favour n.好感；赞同；恩惠# 
favourable a.有利的；赞成的# 
favourite a.特别受喜爱的# 
fear n.害怕；担心vt.害怕# 
fearful a.害怕的，可怕的# 
feasible a.可行的；可能的# 
feast n.盛宴，筵席；节日# 
feather n.羽毛；翎毛；羽状物# 
feature n.特征，特色；面貌# 
February n.二月# 
federal a.联邦的；联盟的# 
fee n.费，酬金；赏金# 
feeble a.虚弱的；微弱的# 
feed vt.喂(养)vi.吃饲料# 
feedback n.回授，反馈，反应# 
feel vi.有知觉vt.触，摸# 
eyesight n.视力，目力# 
feeling n.感情；感觉，知觉# 
fellow n.人，家伙；伙伴# 
female n.雌性的动物；女子# 
fence n.栅栏# 
fertile a.肥沃的；多产的# 
fertilizer n.肥料# 
festival n.节日；音乐节# 
fetch vt.拿来；请来，接去# 
fever n.发热，发烧；狂热# 
few a.很少的；少数的# 
fibre n.纤维，纤维质# 
fiction n.小说；虚构，杜撰# 
field n.田野；田；运动场# 
fierce a.凶猛的，狂热的# 
fifteen num.十五；十五个# 
fifth num.第五n.五分之一# 
fifty num.五十，五十个# 
fight vi.打(仗)；斗争# 
figure n.数字；外形；人物# 
file n.档案vt.把…归档# 
fill vt.装满，盛满；占满# 
film n.影片；胶卷；薄层# 
filter vt.过滤n.滤纸# 
final a.最后的；决定性的# 
finally ad.最后；不可更改的# 
finance n.财政，金融；财源# 
financial a.财政的，金融的# 
find vt.找到；发觉；找出# 
finding n.发现；调查的结果# 
fine a.美好的；纤细的# 
fine n.罚金，罚款# 
finger n.手指；指状物# 
finish vt.完成，结束n.结束# 
fire n.火；火灾vi.开火# 
fireman n.消防队员；司炉工# 
firm n.商行，商号，公司# 
first num.第一ad.最初# 
fish n.鱼，鱼肉vi.钓鱼# 
fisherman n.渔民，渔夫，打鱼人# 
fist n.拳(头)# 
fit vt.适合；安装vi.适合# 
five num.五，五个，第五# 
fix vt.使固定；决定# 
flag n.旗，旗帜；旗舰旗# 
flame n.火焰；光辉；热情# 
flare vi.闪耀vt.使闪亮# 
flash n.闪光vi.闪，闪烁# 
flat a.平的，扁平的# 
flat n.一套房间；单元住宅# 
flavour n.味，味道；风味# 
fleet n.舰队；船队，机群# 
flesh n.肉，肌肉；肉体# 
flexible a.易弯曲的；灵活的# 
flight n.航班；飞行；逃跑# 
float vi.漂浮vt.使漂浮# 
flock n.羊群，群；大量# 
flood n.洪水vt.淹没# 
floor n.地板；楼层# 
flour n.面粉，粉；粉状物质# 
flourish vi.繁荣，茂盛，兴旺# 
flow vi.流动；飘垂；涨潮# 
flower n.花，花卉；开花# 
flu n.流行性感冒# 
fluent a.流利的，流畅的# 
fluid n.流体，液体# 
flush vi.奔流；(脸)发红# 
fly n.蝇，苍蝇vi.飞行# 
focus vi.聚焦，注视n.焦点# 
fog n.雾；烟雾，尘雾# 
fold vt.折叠；合拢n.褶# 
folk n.人们，家属，亲属# 
follow vt.跟随；结果是# 
following a.接着的；下列的# 
fond a.喜爱的；溺爱的# 
food n.食物，食品，养料# 
fool n.蠢人，傻子vt.欺骗# 
foolish a.愚蠢的；鲁莽的# 
foot n.脚；最下部；英尺# 
football n.足球比赛；足球# 
footstep n.脚步；脚步声；足迹# 
for prep.为；给；因为# 
forbid vt.禁止，不许；阻止# 
force vt.强迫n.力，力量# 
forecast n.预测，预报vt.预示# 
forehead n.额头，前部# 
foreign a.外国的；外来的# 
foreigner n.外国人# 
foremost a.最初的；第一流的# 
forest n.森林；森林地带# 
forever ad.永远，总是，老是# 
forget vt.忘记，遗忘# 
forgive vt.原谅，饶恕，宽恕# 
fork n.餐叉；叉；分叉# 
form n.形式；形状vt.形成# 
formal a.正式的；礼仪上的# 
formation n.形成；构成；形成物# 
former a.在前的n.前者# 
formula n.公式，式# 
forth ad.向前；向外，往外# 
fortnight n.两星期，十四天# 
fortunate a.幸运的，侥幸的# 
fortunately ad.幸运地，幸亏# 
fortune n.命运，运气；财产# 
forty num.四十，第四十# 
forward ad.向前；今后，往后# 
found vt.创立，创办；建立# 
foundation n.基础；地基；基金# 
fountain n.泉水，喷泉；源泉# 
four num.四，四个，第四# 
fourteen num.十四，第十四# 
fourth num.第四，四分之一# 
fox n.狐狸；狡猾的人# 
fraction n.小部分；片断；分数# 
fragment n.碎片，破片，碎块# 
frame n.框架，框子；构架# 
framework n.框架，构架，结构# 
France n.法国，法兰西# 
frank a.坦白的，直率的# 
free a.自由的；空闲的# 
freedom n.自由；自主# 
freely ad.自由地；直率地# 
freeze vi.冻；结冻vt.使结冰# 
freight n.货运；货物；运费# 
French a.法国的n.法国人# 
frequency n.屡次；次数；频率# 
frequent a.时常发生的；经常的# 
frequently ad.时常，常常# 
fresh a.新的；新鲜的# 
friction n.摩擦，摩擦力# 
Friday n.星期五# 
fridge n.电冰箱# 
friend n.朋友，友人# 
