habit n.习惯；习性# 
habitual a.习惯性的，惯常的# 
hair n.头发，毛发；毛# 
haircut n.理发# 
half n.半，一半a.一半的# 
hall n.门厅；过道；会堂# 
halt vi.停止；立定n.停住# 
hamburger n.汉堡包，牛肉饼# 
hammer n.锤，榔头vt.锤击# 
hand n.手；人手；指针# 
handful n.一把；少数，一小撮# 
handkerchief n.手帕# 
handle n.柄，把手vt.拿，触# 
handsome a.英俊的；相当大的# 
handwriting n.笔迹，手迹，书法# 
handy a.手边的；便于使用的# 
hang vt.挂，悬；吊死# 
happen vi.发生；碰巧，恰好# 
happiness n.幸福，幸运；快乐# 
happy a.快乐的；幸福的# 
harbour n.海港，港口vt.庇护# 
hard a.硬的；困难的# 
harden vt.使变硬vi.变硬# 
hardly ad.几乎不，简直不# 
hardship n.艰难，困苦# 
hardware n.五金器具；硬件# 
hare n.野兔# 
harm n.伤害，损害vt.损害# 
harmful a.有害的# 
harmony n.调合，协调，和谐# 
harness vt.治理n.马具，挽具# 
harsh a.严厉的；刺耳的# 
harvest n.收获，收成vt.收割# 
haste n.急速，急忙；草率# 
hasten vt.催促vi.赶紧# 
hasty a.急速的；仓促的# 
hat n.帽子(一般指有边的)# 
hatch vt.孵出vi.(蛋)孵化# 
hate vt.恨，憎恨；不喜欢# 
hateful a.可恨的，可恶的# 
hatred n.憎恶，憎恨，仇恨# 
have v.aux.已经vt.有；吃# 
hawk n.鹰，隼# 
hay n.干草# 
hazard n.危险；公害# 
he pron.(主格)他# 
head n.头；上端vt.率领# 
headache n.头痛；头痛的事# 
heading n.标题，题词，题名# 
headline n.大字标题；新闻提要# 
headmaster n.校长# 
headquarters n.司令部；总部# 
heal vt.治愈；使和解# 
health n.健康，健康状况# 
healthy a.健康的；有益健康的# 
heap n.(一)堆；大量# 
hear vt.听见；审讯；听说# 
heart n.心，内心；勇气# 
heat n.热，炎热vi.变热# 
heating n.加热，供暖# 
heaven n.天堂；天，天空# 
heavily ad.重重地；大量地# 
heavy a.重的；大的；充满的# 
hedge n.篱笆，树篱；障碍物# 
heel n.脚后跟，踵，后跟# 
height n.高，高度；高处# 
heir n.后嗣，继承人# 
helicopter n.直升机# 
hell n.地狱；极大的痛苦# 
hello int.喂# 
helmet n.头盔，钢盔# 
help vt.帮助；援助n.帮手# 
helpful a.给予帮助的；有用的# 
helpless a.无助的；无能的# 
hen n.母鸡，雌禽# 
hence ad.因此，所以；今后# 
her pron.(宾格)她；她的# 
herd n.兽群，牧群vt.放牧# 
here ad.这里；向这里# 
hero n.男主角；英雄；勇士# 
heroic a.英雄的；英勇的# 
heroine n.女主角；女英雄# 
hers pron.她的(所有物)# 
herself pron.她自己；她亲自# 
hesitate vi.犹豫，踌躇；含糊# 
hi ini.嗨(表示问候等)# 
hide vt.把…藏起来；隐瞒# 
high a.高的；高级的ad.高# 
highly ad.高度地，很，非常# 
highway n.公路；大路# 
hill n.小山，山岗；丘陵# 
hillside n.(小山)山腰，山坡# 
him pron.(宾格)他# 
himself pron.他自己；他亲自# 
hint n.暗示，示意；建议# 
hire vt.租借n.租用，雇用# 
his pron.他的，他的东西# 
historical a.历史的，有关历史的# 
history n.历史；个人经历# 
hit vt.打；碰撞n.击# 
hobby n.业余爱好，癖好# 
hold vt.拿住；掌握；拥有# 
hole n.洞；孔眼，裂开处# 
holiday n.假日，节日；假期# 
hollow a.空的；空洞的# 
holy a.神圣的；圣洁的# 
home n.家；家乡a.家庭的# 
honest a.诚实的；可敬的# 
honesty n.诚实，正直# 
honey n.蜜，蜂蜜；甜，甜蜜# 
honeymoon n.蜜月# 
honour n.光荣；尊敬，敬意# 
honourable a.诚实的；光荣的# 
hook n.钩，挂钩vt.钩住# 
hope n.&vt.&vi.希望# 
hopeful a.有希望的# 
hopeless a.没有希望的，绝望的# 
horizon n.地平线；眼界，见识# 
horizontal a.地平的；水平的# 
horn n.号角；警报器；角# 
horror n.KB；战栗；憎恶# 
horse n.马；马科动物# 
horsepower n.马力# 
hospital n.医院# 
host n.主人；东道主# 
hostess n.女主人；空姐# 
hostile a.敌方的；不友善的# 
hot a.热的；刺激的；辣的# 
hotel n.旅馆# 
hour n.小时；时间，时刻# 
house n.房屋，住宅；商号# 
household n.家庭，户；家务# 
housewife n.家庭主妇# 
how ad.怎么；怎样；多少# 
however ad.然而；不管怎样# 
huge a.巨大的，庞大的# 
human a.人的，人类的n.人# 
humble a.谦逊的；地位低下的# 
humid a.湿的，湿气重的# 
humorous a.富于幽默的，诙谐的# 
humour n.幽默，诙谐，幽默感# 
hundred num.百，百个n.许多# 
hunger n.饿，饥饿；渴望# 
hungry a.饥饿的；渴望的# 
hunt n.打猎；搜寻vt.追猎# 
hurry vi.赶紧vt.催促# 
hurt vt.使受伤；使痛心# 
husband n.丈夫# 
hut n.小屋，棚屋# 
hydrogen n.氢pron.(主格)我#
@
