jacket n.短上衣，茄克衫# 
jail n.监狱vi.监禁# 
jam n.果酱# 
jam vt.使塞满；使堵塞# 
January n.一月# 
Japan n.日本，日本国# 
Japanese a.日本的n.日本人# 
jar n.罐子，坛子，广口瓶# 
jaw n.颌，颚# 
jazz n.爵士音乐，爵士舞曲# 
jealous a.妒忌的；猜疑的# 
jet n.喷气式飞机；喷嘴# 
jewel n.宝石；宝石饰物# 
jewish a.犹太人的# 
job n.职业；工作；零活# 
join vt.参加；连接# 
joint n.接头，接缝；关节# 
joke n.笑话vi.说笑话# 
jolly a.快活的；令人高兴的# 
journal n.日报，杂志；日志# 
journalist n.记者，新闻工作者# 
journey n.旅行，旅程n.旅行# 
joy n.欢乐，喜悦；乐事# 
joyful a.十分喜悦的，快乐的# 
judge n.法官；裁判员# 
judgement n.意见；审判；判断# 
juice n.(水果等)汁，液# 
July n.七月# 
jump vi.跳；暴涨vt.跳过# 
June n.六月# 
jungle n.丛林，密林，莽丛# 
junior a.年少的n.晚辈# 
jury n.陪审团；评奖团# 
just ad.刚才；只是；正好# 
justice n.正义，公正；司法# 
justify vt.证明…是正当的#
@
