keen a.热心的；激烈的# 
keep vi.保持；坚持# 
keeper n.看护人；饲养员# 
kettle n.水壶，水锅# 
key n.钥匙；键；答案# 
keyboard n.键盘# 
kick vi.&vt.&n.踢# 
kid n.小孩，儿童，少年# 
kill vi.杀死；扼杀；消磨# 
kilogram n.千克，公斤# 
kilometer n.千米，公里# 
kind a.友好的；和蔼的# 
kind n.种类# 
kindness n.仁慈，好意# 
king n.国王，君主# 
kingdom n.王国；领域，界# 
kiss vt.吻vi.接吻n.吻# 
kitchen n.厨房，灶间# 
kite n.风筝# 
knee n.膝，膝盖，膝关节# 
kneel vi.跪，跪下，跪着# 
knife n.小刀，刀，餐刀# 
knit vt.把…编结vi.编织# 
knob n.门把，拉手；旋纽# 
knock vi.&vt.&n.敲，击，打# 
knot n.(绳的)结，(树的)节# 
know vt.知道；认识；通晓# 
knowledge n.知识，学识；知道#
@
