pace n.步，步速vi.踱步# 
pacific a.和平的n.太平洋# 
pack vt.捆扎；挤满n.包# 
package n.包裹，包，捆# 
packet n.小包(裹)，小捆# 
pad n.垫；本子vt.填塞# 
page n.页# 
pail n.桶，提桶# 
pain n.痛，疼痛；辛苦# 
painful a.使痛的；费力的# 
paint vt.画；油漆vi.绘画# 
painter n.漆工，画家，绘画者# 
painting n.油画；绘画；着色# 
pair n.一对vi.成对，配对# 
palace n.宫，宫殿# 
pale a.苍白的；浅的# 
palm n.手掌，手心；掌状物# 
pan n.平底锅，盘子# 
panda n.小猫熊；猫熊# 
pane n.窗格玻璃# 
panel n.专门小组；面，板# 
pant n.气喘；心跳# 
paper n.纸；官方文件；文章# 
parade n.page~ant；检阅vi.page~ant# 
paradise n.伊甸乐园；天堂# 
paragraph n.(文章的)段，节# 
parallel a.平行的；相同的# 
parcel n.包裹，小包，邮包# 
pardon n.原谅；赦免vt.原谅# 
parent n.父亲，母亲，双亲# 
park n.公园；停车场# 
parliament n.议会，国会# 
part n.一部分；零件；本份# 
partial a.部分的；不公平的# 
partially ad.部分地# 
participate vi.参与，参加；分享# 
particle n.粒子，微粒# 
particular a.特殊的；特定的# 
particularly ad.特别，尤其，格外# 
partly ad.部分地，不完全地# 
partner n.伙伴；搭挡；配偶# 
party n.party，party派；聚会# 
pass vt.经过；通过；度过# 
passage n.通过；通路，通道# 
passenger n.乘客，旅客，过路人# 
passion n.激情，热情；爱好# 
passive a.被动的；消极的# 
passport n.护照# 
past a.过去的n.过去# 
paste n.糊，酱；浆湖# 
pastime n.消遣，娱乐# 
pat n.&vt.&n.轻拍# 
patch n.补钉；碎片vt.补缀# 
path n.路，小道；道路# 
patience n.忍耐，容忍，耐心# 
patient a.忍耐的n.病人# 
pattern n.型，式样，模，模型# 
pause n.&vi.中止，暂停# 
pave vt.铺，筑(路等)# 
pavement n.(英)人行道# 
paw n.脚爪，爪子# 
pay vt.支付；付给；给予# 
payment n.支付，支付的款项# 
pea n.豌豆；豌豆属植物# 
peace n.和平；和睦；平静# 
peaceful a.和平的；安静的# 
peach n.桃子，桃树# 
peak n.山顶，巅a.最高的# 
pear n.梨子，梨树# 
pearl n.珍珠；珍珠母# 
peasant n.农民# 
pebble n.卵石，细砾# 
peculiar a.特有的；特别的# 
peel vt.剥(皮)，削(皮)# 
peep vi.(从缝隙中)偷看# 
pen n.钢笔，自来水笔# 
pencil n.铅笔# 
penetrate vt.穿过vi.穿入# 
peninsula n.半岛# 
penny n.(英)便士；(美)分# 
pension n.抚恤金，年金# 
people n.人民，民族；人# 
pepper n.胡椒，胡椒粉# 
per prep.每# 
perceive vt.察觉，发觉；理解# 
percent n.百分之…# 
percentage n.百分比，百分率# 
perfect a.完美的；完全的# 
perfectly ad.很，完全# 
perform vt.履行，执行；演出# 
performance n.履行；演出；行为# 
perfume n.香味，芳香；香料# 
perhaps ad.也许，可能，多半# 
period n.时期；学时；句号# 
permanent a.永久的，持久的# 
permanently ad.永久地，持久地# 
permission n.允许，许可，同意# 
permit vt.允许n.执照# 
persist vi.坚持，固执；持续# 
person n.人；人身；本人# 
personal a.个人的；本人的# 
personnel n.全体人员，全体职员# 
perspective n.透视；远景；观点# 
persuade vt.说服vi.被说服# 
pessimistic a.悲观的；厌世的# 
pet n.爱畜；宠儿a.宠爱的# 
petrol n.(英)汽油# 
petroleum n.石油# 
phase n.阶段；方面；相位# 
phenomenon n.现象# 
philosopher n.哲学家# 
philosophy n.哲学；哲理；人生观# 
phone n.电话，电话机；耳机# 
photograph n.照片，相片# 
photographic a.摄影的，摄影用的# 
phrase n.短语；习惯用语# 
physical a.物质的；物理的# 
physician n.医生，内科医生# 
physicist n.物理学家# 
physics n.物理学# 
piano n.钢琴# 
pick n.镐，鹤嘴锄# 
pick vt.拾，摘vi.采摘# 
picnic n.郊游，野餐vi.野餐# 
picture n.画，图片vt.画# 
pie n.(西点)馅饼# 
piece n.碎片，块vt.拼合# 
pierce vt.剌穿vi.穿入# 
pig n.猪，小猪，野猪# 
pigeon n.鸽子# 
pile n.堆vt.堆叠，累积# 
pill n.药丸，丸剂# 
pillar n.柱，柱子；栋梁# 
pillow n.枕头# 
pilot n.领航员；飞行员# 
pin n.针，饰针n.别住# 
pinch vt.捏，拧，掐掉# 
pine n.松树，松木# 
pink n.粉红色a.粉红色的# 
pint n.品脱# 
pioneer n.拓荒者；先驱者# 
pipe n.管子，导管；烟斗# 
pipeline n.管道，管线# 
pistol n.手枪# 
pit n.坑，地坑；煤矿# 
pitch n.沥青# 
pitch vt.投，掷vi.投掷# 
pity n.怜悯；遗憾vt.同情# 
place n.地方，地点；住所# 
plain n.平原a.清楚的# 
plan n.&vt.计划，打算# 
plane n.平面；飞机# 
planet n.行星# 
plant n.植物；工厂vt.栽种# 
plantation n.种植园；栽植# 
plaster n.灰泥；硬膏；熟石膏# 
plastic a.可塑的n.塑料# 
plate n.板，片，盘vt.电镀# 
platform n.平台；站台；讲台# 
play vi.玩，游戏；演奏# 
player n.游戏的人；比赛者# 
playground n.操场，运动场# 
pleasant a.令人愉快的，舒适的# 
please vt.使高兴，请vi.满意# 
pleasure n.愉快，快乐；乐事# 
plentiful a.丰富的，富裕的# 
plenty n.丰富，充足，大量# 
plot n.小块土地vt.密谋# 
plough n.犁vt.&vi.犁，耕# 
pluck vt.采，摘；拉下n.拉# 
plug n.塞子；插头vt.塞# 
plunge vt.使投入；使陷入# 
plural a.复数的n.复数# 
plus prep.加，加上a.正的# 
P.M. n.下午，午后# 
pocket n.衣袋n.袖珍的# 
poem n.诗，韵文，诗体文# 
poet n.诗人# 
poetry n.诗，诗歌，诗作# 
point n.点；要点；细目；分# 
poison n.毒，毒药vt.毒害# 
poisonous a.有毒的，有害的# 
pole n.杆，柱# 
pole n.极(点)，磁极，电极# 
police n.当局# 
policeman n.警察# 
policy n.政策，方针# 
polish vt.磨光；使优美# 
polite a.有礼貌的；有教养的# 
political a.政治的，政治上的# 
politician n.政治家；政客# 
politics n.政治，政治学；政纲# 
pollute vt.弄脏，污染，沾污# 
pollution n.污染# 
pond n.池塘# 
pool n.水塘，游泳池，水池# 
pool n.共用物vt.共有# 
poor a.贫穷的；贫乏的# 
pop n.流行音乐，流行歌曲# 
pop n.砰的一声，爆破声# 
popular a.民众的；流行的# 
population n.人口；全体居民# 
porch n.门廊，入口处# 
pork n.猪肉# 
porridge n.粥，麦片粥# 
port n.港，港口# 
portable a.轻便的；手提的# 
porter n.搬运工人# 
portion n.一部分；一分# 
portrait n.消像，画像# 
Portuguese n.葡萄牙人；葡萄牙语# 
position n.位置；职位；姿势# 
positive a.确定的；积极的# 
possess vt.占用，拥有(财产)# 
possession n.有，所有；占有物# 
possibility n.可能；可能的事# 
possible a.可能的；可能存在的# 
possibly ad.可能地；也许# 
post n.柱，桩，杆vt.贴出# 
post n.邮政，邮寄；邮件# 
post n.岗位，哨所；职位# 
postage n.邮费，邮资# 
postman n.邮递员# 
postpone vt.延迟，推迟，延缓# 
pot n.锅，壶，罐，盆# 
potato n.马铃薯，土豆# 
potential a.潜在的n.潜力# 
pound n.磅；英磅# 
pound vt.捣碎；舂烂；猛击# 
pour vt.灌，倒vi.倾泻# 
poverty n.贫穷，贫困# 
powder n.粉末；药粉；火药# 
power n.能力；力；权；幂# 
powerful a.强有力的；有权威的# 
practical a.实践的；实用的# 
practically ad.实际上；几乎# 
practice n.实践；练习；业务# 
practise vt.练习，实习，训练# 
praise n.赞扬，赞美vi.赞扬# 
pray vt.&vi.请求；祈祷# 
prayer n.祈祷，祈求# 
precaution n.预防；警惕# 
preceding a.在前的；在先的# 
precious a.珍贵的，宝贵的# 
precise a.精确的，准确的# 
precision n.精确，精密，精密度# 
predict v.预言，预告，预测# 
preface n.序言，前言，引语# 
prefer vt.宁可，宁愿# 
preferable a.更可取的，更好的# 
preference n.偏爱，优先；优先权# 
prejudice n.偏见，成见# 
preliminary a.预备的，初步的# 
premier n.总理，首相# 
preparation n.准备，预备；制备# 
prepare vt.&vi.准备，预备# 
preposition n.前置词，介词# 
prescribe vt.命令；处(方)# 
presence n.出席，到场；在# 
present a.现在的n.目前# 
present vt.赠送;介绍;提出# 
present n.礼物，赠送物# 
presently ad.一会儿；目前# 
preserve vt.保护；保存；腌渍# 
president n.总统；校长；会长# 
press vt.压，按，揿；催促# 
pressure n.压力；压力；压，按# 
pretend vt.假托，借口vi.假装# 
pretty a.漂亮的，标致的# 
prevail vi.胜，优胜；流行# 
prevent vt.预防，防止；阻止# 
previous a.先的；前的ad.在前# 
previously ad.先前，预先# 
price n.价格，价钱；代价# 
pride n.骄傲；自豪vt.自夸# 
priest n.教士，牧师，神父# 
primarily ad.首先；主要地# 
primary a.最初的；基本的# 
prime a.首要的n.春，青春# 
primitive a.原始的；粗糙的# 
prince n.王子，亲王# 
princess n.公主，王妃# 
principal a.主要的n.负责人# 
principle n.原则，原理；主义# 
print vt.印刷n.印刷；正片# 
prior a.在先的；优先的# 
prison n.监狱，监禁# 
prisoner n.囚犯# 
private a.私人的；私下的# 
privilege n.特权，优惠# 
prize n.奖赏，奖金vt.珍视# 
probability n.可能性；概率# 
probable a.或有的；大概的# 
probably ad.或许，大概# 
problem n.问题；习题，问题# 
procedure n.程序；手续；过程# 
proceed vi.进行；继续进行# 
process n.过程；工序vt.加工# 
procession n.队伍，行列# 
proclaim vt.宣告，宣布；表明# 
produce vt.生产；产生；展现# 
product n.产品，产物；(乘)积# 
production n.生产；产品；总产量# 
productive a.生产的；丰饶的# 
profession n.职业# 
