ugly a.丑陋的；可怕的# 
ultimate a.最后的，最终的# 
ultimately ad.最终，最后# 
umbrella n.伞，雨伞# 
unable a.不能的，不会的# 
unbearable a.难堪的，忍受不了的# 
uncertain a.无常的；不确定的# 
uncle n.伯父，叔父，舅父# 
uncomfortable a.不舒服的；不自在的# 
unconscious a.不省人事的# 
uncover vt.揭开…的盖子# 
under prep.在…下面；低于.# 
undergo vt.经历，经受，忍受# 
undergraduate n.大学肆业生# 
underground a.地下的；秘密的# 
underline vt.划线于…之下# 
underneath ad.在下面，在底下# 
understand vt.懂；获悉vi.懂得# 
understanding n.理解；理解力；协定# 
undertake vt.从事；承担；保证# 
undertaking n.任务，事业；许诺# 
undo vt.解开，打开；取消# 
undoubtedly ad.无容置疑，肯定地# 
uneasy a.心神不安的，忧虑的# 
unexpected a.想不到的，意外的# 
unfair a.不公平的，不公正的# 
unfortunate a.不幸的；可取的# 
unfortunately ad.不幸地# 
unhappy a.不幸福的，不快乐的# 
uniform a.一样的n.制服# 
union n.联合；团结；协会# 
unique a.唯一的，独一无二的# 
unit n.单位；单元；部件# 
unite vi.联合vt.使联合# 
unity n.单一；统一；团结# 
universal a.宇宙的；普遍的# 
universe n.宇宙，世界# 
university n.大学，综合性大学# 
unjust a.非正义的；不公平的# 
unkind a.不仁慈的，不和善的# 
unknown a.不知道的；未知的# 
unless conj.除非，如果不# 
unlike a.不同的prep.不象…# 
unlikely a.未必的，未必可能的# 
unload vt.卸(货)vi.卸货# 
unlucky a.不幸的；不吉的# 
unnecessary a.不必要的，多余的# 
unpleasant a.令人不快的，讨厌的# 
unsatisfactory a.不能令人满意的# 
unstable a.不稳固的；不稳定的# 
unsuitable a.不合适的，不适宜的# 
until prep&conj.直到…为止# 
unusual a.不平常的；独特的# 
unusually a.不平常地，非常# 
unwilling a.不愿意的# 
up ad.向上；起床，起来# 
upon prep.在…上；在…旁# 
upper a.上面的；地位较高的# 
upright a.垂直的；正直的# 
upset vt.弄翻，打翻，倾覆# 
upside-down a.颠倒的，乱七八糟的# 
upstairs ad.在楼上a.楼上的# 
up-to-date a.直到最近的，现代的# 
upward a.向上的，上升的# 
upwards ad.趋向上升；以上# 
urge vt.推进；催促n.冲动# 
urgent a.紧急的；强求的# 
us pron.(宾格)我们# 
usage n.使用，对待；惯用法# 
use vt.用；耗费n.用# 
used vi.过去常常# 
used a.旧的；习惯于…的# 
useful a.有用的，有益的# 
useless a.无用的，无价值的# 
user n.用户，使用者# 
usual a.通常的；平常的# 
usually ad.通常# 
utility n.效用，有用，实用# 
utilize vt.利用# 
utmost a.最远的n.极限# 
utter a.完全的，彻底的# 
utter vt.发出，说，讲#
@
