vacant a.空的；未被占用的# 
vacation n.假期，休假# 
vacuum n.真空；真空吸尘器# 
vague a.模糊的，含糊的# 
vain a.徒劳的；自负的# 
valid a.有效的；正当的# 
valley n.(山)谷，溪谷；流域# 
valuable a.值钱的；有价值的# 
value n.价值；价格vt.评价# 
van n.大篷车，运货车# 
vanish vi.突然不见，消失# 
vanity n.虚荣心，虚夸# 
vapour n.汽，蒸气# 
variable a.易变的n.变量# 
variation n.变化，变动；变异# 
variety n.多样化；种类；变种# 
various a.各种各样的，不同的# 
vary vt.改变；使多样化# 
vase n.瓶，花瓶# 
vast a.巨大的；大量的# 
vegetable n.植物；蔬菜# 
vehicle n.车辆，机动车# 
veil n.面纱，面罩；遮蔽物# 
velocity n.速度，速率# 
velvet n.丝绒，天鹅绒# 
venture n.&vi.冒险vt.敢于# 
verb n.动词# 
verify vt.证实，查证；证明# 
version n.译文；说法；改写本# 
vertical a.垂直的，竖式的# 
very ad.很；完全a.真的# 
vessel n.容器；船，飞船；管# 
vest n.汗衫；背心；内衣# 
veteran n.老兵，老手# 
vex vt.使烦恼，使恼火# 
via prep.经过；通过# 
vibrate vt.使颤动vi.颤动# 
vibration n.颤动，振动；摆动# 
vice n.罪恶；恶习；缺点# 
vice n.(老)虎钳# 
victim n.牺牲者，受害者# 
victorious a.胜利的，得胜的# 
victory n.胜利，战胜# 
video a.电视的n.电视# 
view n.看；视力；风景# 
viewpoint n.观点，看法，见解# 
vigorous a.朝气蓬勃的# 
village n.乡村，村庄# 
vine n.葡萄树# 
vinegar n.醋# 
violence n.猛烈，激烈；暴力# 
violent a.猛烈的；狂暴的# 
violet n.紫罗兰# 
violin n.小提琴# 
virtually ad.实际上，事实上# 
virtue n.善；美德；优点# 
visible a.可见的，看得见的# 
vision n.视；想象力；梦幻# 
visit vt.&n.访问，参观# 
visitor n.访问者；游客# 
visual a.看的；看得见的# 
vital a.生命的；有生命力的# 
vitamin n.维生素，维他命# 
vivid a.鲜艳的；生动的# 
vocabulary n.词汇表；词汇，语汇# 
voice n.说话声；意见；语态# 
volcano n.火山# 
volleyball n.排球，排球运动# 
volt n.伏特，伏# 
voltage n.电压# 
volume n.卷，册；容积；音量# 
voluntary a.自愿的，志愿的# 
vote n.选举，投票，表决# 
voyage n.&vi.航海，航空#
@
